您的投票结果为：
排名          干员名      胜率
  1     缄默德克萨斯     98.33%
  2        麒麟R夜刀     95.36%
  3           刻俄柏     94.30%
  4         史尔特尔     93.75%
  5         莫斯提马     92.44%
  6           玛恩纳     92.27%
  7         焰影苇草     91.88%
  8           伊内丝     91.57%
  9       假日威龙陈     91.41%
 10               锏     89.61%
 11       耀骑士临光     85.21%
 12       涤火杰西卡     85.16%
 13     纯烬艾雅法拉     79.33%
 14             塑心     79.23%
 15       归溟幽灵鲨     78.86%
 16       浊心斯卡蒂     78.57%
 17       百炼嘉维尔     77.97%
 18           多萝西     77.30%
 19             铃兰     76.32%
 20             提丰     75.38%
 21       圣约送葬人     74.62%
 22             琴柳     73.26%
 23               林     70.88%
 24             风笛     69.89%
 25             灵知     69.38%
 26             仇白     67.70%
 27         伊芙利特     67.06%
 28               令     65.81%
 29               年     63.78%
 30         艾雅法拉     61.88%
 31               阿     60.51%
 32         缪尔赛思     60.11%
 33             鸿雪     58.19%
 34             夜莺     57.59%
 35             澄闪     57.54%
 36             银灰     53.09%
 37           塞雷娅     52.23%
 38       琳琅诗怀雅     51.57%
 39           赫德雷     50.60%
 40           能天使     50.31%
 41             重岳     49.76%
 42             斥罪     48.77%
 43             号角     48.42%
 44             黑键     46.71%
 45             温蒂     46.41%
 46             瑕光     46.02%
 47             傀影     44.97%
 48           艾丽妮     43.37%
 49               煌     41.36%
 50             星熊     39.77%
 51             早露     39.34%
 52         卡涅利安     39.01%
 53             棘刺     38.95%
 54               山     38.86%
 55             白铁     38.46%
 56               陈     38.42%
 57             泥岩     37.42%
 58         歌蕾蒂娅     36.57%
 59         霍尔海雅     35.96%
 60           斯卡蒂     32.96%
 61             水月     30.59%
 62             灰烬     30.54%
 63             焰尾     29.03%
 64               夕     27.37%
 65             流明     26.86%
 66           凯尔希     26.14%
 67               黑     25.34%
 68             异客     24.87%
 69         菲亚梅塔     24.54%
 70         安洁莉娜     23.56%
 71           麦哲伦     22.56%
 72           赫拉格     21.71%
 73         薇薇安娜     21.25%
 74             空弦     21.25%
 75           帕拉斯     20.67%
 76             森蚺     18.94%
 77           迷迭香     18.24%
 78             远牙     15.95%
 79             老鲤     15.79%
 80             闪灵     14.44%
 81             嵯峨     14.29%
 82         淬羽赫默     11.52%
 83         推进之王     8.47%
 84             伺夜     5.95%
 85             止颂     4.14%
 86                W     0.65%
